beta,kT,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,endl
 0.1221032,  8.1897933,  10613.972,  9234.4815,  -4531.608,  15316.846, -295.94025, 0.00021511349,          0, 0.00029199996, 0.00049214913, 0.00061331787, 0.00064688199, 0.00061331787, 0.00049214913, 0.00029199996, 
0.12602172,  7.9351402,  10283.942,  9191.9565, -4488.1919,  14987.706,  32.790721, 0.00022203799,          0, 0.00029065529, 0.0005207004, 0.00063197971, 0.00066593707, 0.00063197971, 0.0005207004, 0.00029065529, 
0.11577873,  8.6371653,  11193.766,   9152.567, -4547.2749,  15799.058, -778.22123, 0.00021232034,          0, 0.00028940977, 0.00049506455, 0.00059744208, 0.00063329258, 0.00059744208, 0.00049506455, 0.00028940977, 
0.12170793,  8.2163918,  10648.444,   9198.674, -4576.1013,  15271.017, -250.34877, 0.00021234764,          0, 0.0002908677, 0.00049657262, 0.00059925374, 0.00062417405, 0.00059925374, 0.00049657262, 0.0002908677, 
0.12104263,  8.2615524,  10706.972,  9364.7371, -4559.2636,  15512.445, -491.93338, 0.00022785009,          0, 0.00029611872, 0.00052064756, 0.00065353114, 0.00070500656, 0.00065353114, 0.00052064756, 0.00029611872, 
0.12391967,   8.069744,  10458.388,  8952.2205, -4548.8804,  14861.728,  158.62262, 0.00021368504,          0, 0.00028307469, 0.00049685239, 0.00060879466, 0.00064151722, 0.00060879466, 0.00049685239, 0.00028307469, 
0.12430839,  8.0445094,  10425.684,  9649.7791, -4592.2191,  15483.244, -462.62472, 0.00022534873,          0, 0.00030513192, 0.0005111884, 0.00064095212, 0.00069103484, 0.00064095212, 0.0005111884, 0.00030513192, 
0.12661017,  7.8982599,  10236.145,   8969.597, -4476.4098,  14729.332,  291.46478, 0.00021871213,          0, 0.00028362415, 0.00049516803, 0.00062740376, 0.00068700224, 0.00062740376, 0.00049516803, 0.00028362415, 
0.11994923,  8.3368602,  10804.571,  9141.0711, -4518.0477,  15427.594, -406.23378, 0.00021164689,          0, 0.00028904626, 0.00048270533, 0.0006032977, 0.00063625165, 0.0006032977, 0.00048270533, 0.00028904626, 
0.12700533,  7.8736853,  10204.296,  9818.2822, -4532.4936,  15490.085, -468.47654, 0.00021969844,          0, 0.00031046009, 0.00050217298, 0.00061337848, 0.00066315193, 0.00061337848, 0.00050217298, 0.00031046009, 
0.12106368,  8.2601157,   10705.11,  8695.5242, -4510.7616,  14889.873,  131.44681, 0.00020283366,          0, 0.0002749578, 0.00046096395, 0.00057820554, 0.00061708404, 0.00057820554, 0.00046096395, 0.0002749578, 
0.12735526,  7.8520509,  10176.258,  9466.7454, -4505.0759,  15137.927, -116.63891, 0.00022993485,          0, 0.00029934428, 0.00052749399, 0.00065890887, 0.00070746339, 0.00065890887, 0.00052749399, 0.00029934428, 
0.12174458,  8.2139178,  10645.237,  9377.7429, -4512.0574,  15510.923, -489.16731, 0.00022367769,          0, 0.00029652997, 0.00052086683, 0.00063257083, 0.00067890778, 0.00063257083, 0.00052086683, 0.00029652997, 
0.12553059,  7.9661856,  10324.177,  8555.7878, -4611.8838,  14268.081,  752.61019, 0.00019895654,          0, 0.00027053925, 0.00045460235, 0.00056617573, 0.00060066999, 0.00056617573, 0.00045460235, 0.00027053925, 
0.12125274,  8.2472364,  10688.418,  9178.2625, -4664.8504,   15201.83, -180.46136, 0.00021779735,          0, 0.00029022228, 0.0004931216, 0.0006239462, 0.00067017738, 0.0006239462, 0.0004931216, 0.00029022228, 
0.12570283,  7.9552704,   10310.03,  9269.3011, -4548.1306,  15031.201, -9.3530191, 0.00021899919,          0, 0.00029310098, 0.0004996154, 0.00062857627, 0.00066140184, 0.00062857627, 0.0004996154, 0.00029310098, 
0.12790274,  7.8184411,    10132.7,  8864.6851, -4561.9337,  14435.451,  586.03513, 0.00020989721,          0, 0.00028030677, 0.0004780867, 0.00059979277, 0.00064198284, 0.00059979277, 0.0004780867, 0.00028030677, 
0.12084541,  8.2750353,  10724.446,  9014.5052, -4569.0927,  15169.858,  -148.5551, 0.00021357207,          0, 0.00028504417, 0.00047699978, 0.00061266954, 0.00066772616, 0.00061266954, 0.00047699978, 0.00028504417, 
